country,sector,occupation,year,gender_pay_gap,cooks_distance,leverage,residual
HU,IT,Professionals,2010,21.032453398067,0.0019009701669028892,0.0012698061871353127,-39.657808736693816
IE,Health,Professionals,2010,24.8880047155909,0.0018671119286581763,0.002810711576819044,26.37644390968354
LV,Transport,Craft,2018,33.1340060628711,0.0018556000761660186,0.0013086092619726652,-38.5949164334236
AL,Manufacturing,Technicians,2018,2.92732176680935,0.0018108898091341887,9.209185573404655e-4,-45.46705960890088
HU,Finance,Craft,2018,-19.872587607749,0.0017517495082564854,7.543731742752809e-4,49.41704168708548
AL,Finance,Clerical,2022,24.2778617675091,0.0017314113812139525,0.0017302195728608198,32.40850898858534
MK,IT,Professionals,2010,11.5035973091608,0.001701327436732281,6.663947531433209e-4,51.82034061757918
HU,Electricity,Elementary,2018,19.0192577725269,0.001684892288581062,7.543731742752809e-4,48.46484323735991
LT,Arts,Technicians,2010,5.63781717066389,0.0016544529772877644,7.539247820580761e-4,-48.0393650545193
AL,Health,Service,2022,11.3257605785435,0.0016489889802160194,0.001074641086053745,-40.157974319127405
EL,Finance,Professionals,2022,19.6283226312829,0.0016421397579966658,3.7139971518405083e-4,-68.21573312771716
LV,IT,Managers,2010,23.9917325664989,0.0016103952862150193,0.0015997205118446288,-32.509514628763476
ME,Construction,Technicians,2014,-15.7458405867412,0.001572919952531831,0.003466423478910294,-21.78542521181794
LV,Transport,Technicians,2022,14.7322533623037,0.0015715864260167458,6.352687796968505e-4,-51.012428595017
PT,Hospitality,Managers,2018,5.08504549692935,0.0015680303754716225,0.0020876158676921366,28.067643798824943
EA13,Mining,Agriculture,2010,-40.2161049652688,0.0015674028815360942,0.0011051221117353766,-38.60704619624567
TR,Transport,Service,2010,3.94419784400761,0.0015654632609375637,9.414630541731977e-4,-41.80924617289587
IE,Real Estate,Technicians,2014,29.2965793855002,0.0015505120783391815,0.0020876158676921366,27.910415218222138
HU,Education Sector,Clerical,2014,18.2075665941263,0.001549937211677467,6.12027035090557e-4,-51.61399445774294
